apply_num,handle,nick
747957,@assedaya,assedaya
747917,@rn_goo,rn_goo
747881,@lisailgi,lisailgi
747569,@didi,didi
747337,@nazi_korea,nazi_korea
747302,@mar77,mar77
747056,@elissabet_h,elissabet_h
746906,@allinsoullin,allinsoullin
746824,@iambobbie21,iambobbie21
746571,@kimosha,kimosha
746491,@melis.kr,melis.kr
746437,@tesshorak,tesshorak
746375,@kaye13,kaye13
746282,@heyjoojooly,heyjoojooly
746261,@olya1008,olya1008
746250,@anastassiya05,anastassiya05
746200,@veda_dvd,veda_dvd
746181,@yeldanakam,yeldanakam
746026,@jezrah,jezrah
746012,@lisasvloging,lisasvloging
745959,@baiun_es,baiun_es
745910,@anibrk,anibrk
745893,@ding_ros,ding_ros
745888,@elizavetaa.sinicina,elizavetaa.sinicina
745858,@tasicjoi,tasicjoi
745845,@wikapark,wikapark
745840,@hsu2003,hsu2003
745833,@annaspasska,annaspasska
745802,@miawrla,miawrla
745772,@alsu,alsu
